scenario_source,scenario,sector,technology,region,year,tmsr,smsp
geco_2021,1.5c,power,oilcap,algeria and libya,2035,1.0824983694070576,0.010164760303640656
geco_2021,1.5c,power,renewablescap,algeria and libya,2035,60.76138024432412,1.1338362161292619
geco_2021,1.5c,power,coalcap,algeria and libya,2036,30.875189320582894,0.001999306131199441
geco_2021,1.5c,power,gascap,algeria and libya,2036,0.8270350339971444,-0.14666608601068093
geco_2021,1.5c,power,hydrocap,algeria and libya,2036,1.4880873003151056,0.004720633347912598
geco_2021,1.5c,power,nuclearcap,algeria and libya,2036,784.3334622966759,0.09747940127882176
geco_2021,1.5c,power,oilcap,algeria and libya,2036,1.1077939842396292,0.013281474771506393
geco_2021,1.5c,power,renewablescap,algeria and libya,2036,68.93497157342959,1.2889115143718939
geco_2021,1.5c,power,coalcap,algeria and libya,2037,33.518806979596,0.0021762221981570674
geco_2021,1.5c,power,gascap,algeria and libya,2037,0.8227595670134755,-0.15029147919205071
geco_2021,1.5c,power,hydrocap,algeria and libya,2037,1.5277110829674276,0.005103862638324856
geco_2021,1.5c,power,nuclearcap,algeria and libya,2037,873.5340266639541,0.10857967724911105
geco_2021,1.5c,power,oilcap,algeria and libya,2037,1.1330895990722005,0.016398189239372103
geco_2021,1.5c,power,renewablescap,algeria and libya,2037,77.10856290253507,1.4439868126145257
geco_2021,1.5c,power,coalcap,algeria and libya,2038,36.16242463860911,0.0023531382651146944
geco_2021,1.5c,power,gascap,algeria and libya,2038,0.8184841000298066,-0.15391687237342047
geco_2021,1.5c,power,hydrocap,algeria and libya,2038,1.5673348656197499,0.005487091928737115
geco_2021,1.5c,power,nuclearcap,algeria and libya,2038,962.7345910312325,0.11967995321940032
geco_2021,1.5c,power,oilcap,algeria and libya,2038,1.1583852139047721,0.01951490370723784
geco_2021,1.5c,power,renewablescap,algeria and libya,2038,85.28215423164053,1.5990621108571577
geco_2021,1.5c,power,coalcap,algeria and libya,2039,38.80604229762221,0.0025300543320723205
geco_2021,1.5c,power,gascap,algeria and libya,2039,0.8142086330461377,-0.15754226555479037
geco_2021,1.5c,power,hydrocap,algeria and libya,2039,1.6069586482720721,0.0058703212191493735
geco_2021,1.5c,power,nuclearcap,algeria and libya,2039,1051.935155398511,0.1307802291896896
geco_2021,1.5c,power,oilcap,algeria and libya,2039,1.1836808287373437,0.02263161817510355
geco_2021,1.5c,power,renewablescap,algeria and libya,2039,93.455745560746,1.7541374090997894
geco_2021,1.5c,power,coalcap,algeria and libya,2040,41.449659956635315,0.002706970399029947
geco_2021,1.5c,power,gascap,algeria and libya,2040,0.8099331660624688,-0.16116765873616015
geco_2021,1.5c,power,hydrocap,algeria and libya,2040,1.6465824309243944,0.006253550509561632
geco_2021,1.5c,power,nuclearcap,algeria and libya,2040,1141.135719765789,0.14188050515997888
geco_2021,1.5c,power,oilcap,algeria and libya,2040,1.2089764435699153,0.025748332642969284
geco_2021,1.5c,power,renewablescap,algeria and libya,2040,101.62933688985147,1.9092127073424212
geco_2021,1.5c,power,coalcap,algeria and libya,2041,49.98091607633277,0.003277898753120494
geco_2021,1.5c,power,gascap,algeria and libya,2041,0.8060576073872971,-0.16445394864288485
geco_2021,1.5c,power,hydrocap,algeria and libya,2041,1.6910144171844452,0.006683283296949828
geco_2021,1.5c,power,nuclearcap,algeria and libya,2041,1179.534398689016,0.14665890466861142
geco_2021,1.5c,power,oilcap,algeria and libya,2041,1.1957483195970027,0.02411847364796232
geco_2021,1.5c,power,renewablescap,algeria and libya,2041,110.50493576282342,2.0776070014646266
geco_2021,1.5c,power,coalcap,algeria and libya,2042,58.51217219603022,0.0038488271072110404
geco_2021,1.5c,power,gascap,algeria and libya,2042,0.8021820487121256,-0.16774023854960946
geco_2021,1.5c,power,hydrocap,algeria and libya,2042,1.7354464034444956,0.007113016084338022
geco_2021,1.5c,power,nuclearcap,algeria and libya,2042,1217.9330776122426,0.15143730417724396
geco_2021,1.5c,power,oilcap,algeria and libya,2042,1.1825201956240898,0.02248861465295533
geco_2021,1.5c,power,renewablescap,algeria and libya,2042,119.38053463579537,2.2460012955868316
geco_2021,1.5c,power,coalcap,algeria and libya,2043,67.04342831572768,0.004419755461301587
geco_2021,1.5c,power,gascap,algeria and libya,2043,0.7983064900369539,-0.17102652845633415
