scenario_source,scenario,sector,technology,region,year,tmsr,smsp
weo_2021,steps,power,oilcap,europe,2041,0.34614724558091636,-0.021988993960240896
weo_2021,steps,power,renewablescap,europe,2041,2.353365487652292,0.47834213951179805
weo_2021,steps,power,coalcap,europe,2042,0.37412672926214596,-0.08492455351088052
weo_2021,steps,power,gascap,europe,2042,1.1939574317238528,0.03789350054972485
weo_2021,steps,power,hydrocap,europe,2042,1.165721457426364,0.03048303644343893
weo_2021,steps,power,nuclearcap,europe,2042,0.8092238553062953,-0.018681266358282093
weo_2021,steps,power,oilcap,europe,2042,0.33512098850180194,-0.022359805735029735
weo_2021,steps,power,renewablescap,europe,2042,2.3700046333244202,0.4842231854030016
weo_2021,steps,power,coalcap,europe,2043,0.37808236657699135,-0.08438781428822897
weo_2021,steps,power,gascap,europe,2043,1.181565070971744,0.03547240265830197
weo_2021,steps,power,hydrocap,europe,2043,1.1732595991685297,0.031869612768622116
weo_2021,steps,power,nuclearcap,europe,2043,0.8101079308947581,-0.018594695515918948
weo_2021,steps,power,oilcap,europe,2043,0.3240947314226874,-0.022730617509818574
weo_2021,steps,power,renewablescap,europe,2043,2.3866437789965476,0.490104231294205
weo_2021,steps,power,coalcap,europe,2044,0.3820380038918366,-0.08385107506557742
weo_2021,steps,power,gascap,europe,2044,1.1691727102196356,0.03305130476687912
weo_2021,steps,power,hydrocap,europe,2044,1.1807977409106953,0.03325618909380527
weo_2021,steps,power,nuclearcap,europe,2044,0.8109920064832209,-0.018508124673555792
weo_2021,steps,power,oilcap,europe,2044,0.3130684743435731,-0.023101429284607414
weo_2021,steps,power,renewablescap,europe,2044,2.4032829246686758,0.4959852771854086
weo_2021,steps,power,coalcap,europe,2045,0.385993641206682,-0.08331433584292587
weo_2021,steps,power,gascap,europe,2045,1.1567803494675273,0.030630206875456277
weo_2021,steps,power,hydrocap,europe,2045,1.1883358826528612,0.034642765418988454
weo_2021,steps,power,nuclearcap,europe,2045,0.8118760820716837,-0.018421553831192636
weo_2021,steps,power,oilcap,europe,2045,0.30204221726445857,-0.023472241059396253
weo_2021,steps,power,renewablescap,europe,2045,2.419922070340804,0.5018663230766122
weo_2021,steps,power,coalcap,europe,2046,0.3887158002190487,-0.08294496691550975
weo_2021,steps,power,gascap,europe,2046,1.1313752714059937,0.025666811913302168
weo_2021,steps,power,hydrocap,europe,2046,1.1958426481546849,0.036023570354680734
weo_2021,steps,power,nuclearcap,europe,2046,0.8118760820716837,-0.018421553831192636
weo_2021,steps,power,oilcap,europe,2046,0.2942766432126309,-0.02373339643385843
weo_2021,steps,power,renewablescap,europe,2046,2.4350507930740983,0.5072135154399096
weo_2021,steps,power,coalcap,europe,2047,0.39143795923141533,-0.08257559798809362
weo_2021,steps,power,gascap,europe,2047,1.1059701933444603,0.020703416951148055
weo_2021,steps,power,hydrocap,europe,2047,1.2033494136565086,0.03740437529037302
weo_2021,steps,power,nuclearcap,europe,2047,0.8118760820716837,-0.018421553831192636
weo_2021,steps,power,oilcap,europe,2047,0.28651106916080316,-0.023994551808320608
weo_2021,steps,power,renewablescap,europe,2047,2.4501795158073922,0.5125607078032071
weo_2021,steps,power,coalcap,europe,2048,0.39416011824378205,-0.08220622906067751
weo_2021,steps,power,gascap,europe,2048,1.0805651152829268,0.015740021988993946
weo_2021,steps,power,hydrocap,europe,2048,1.2108561791583325,0.03878518022606534
weo_2021,steps,power,nuclearcap,europe,2048,0.8118760820716837,-0.018421553831192636
weo_2021,steps,power,oilcap,europe,2048,0.2787454951089755,-0.024255707182782787
weo_2021,steps,power,renewablescap,europe,2048,2.465308238540686,0.5179079001665045
weo_2021,steps,power,coalcap,europe,2049,0.3968822772561488,-0.08183686013326139
weo_2021,steps,power,gascap,europe,2049,1.0551600372213934,0.010776627026839838
weo_2021,steps,power,hydrocap,europe,2049,1.2183629446601563,0.04016598516175763
weo_2021,steps,power,nuclearcap,europe,2049,0.8118760820716837,-0.018421553831192636
weo_2021,steps,power,oilcap,europe,2049,0.27097992105714774,-0.02451686255724497
weo_2021,steps,power,renewablescap,europe,2049,2.4804369612739805,0.523255092529802
weo_2021,steps,power,coalcap,europe,2050,0.3996044362685154,-0.08146749120584526
weo_2021,steps,power,gascap,europe,2050,1.02975495915986,0.005813232064685728
weo_2021,steps,power,hydrocap,europe,2050,1.2258697101619798,0.04154679009744991
weo_2021,steps,power,nuclearcap,europe,2050,0.8118760820716837,-0.018421553831192636
weo_2021,steps,power,oilcap,europe,2050,0.26321434700532,-0.02477801793170715
weo_2021,steps,power,renewablescap,europe,2050,2.4955656840072744,0.52860228489309935
