scenario_source,region,scenario,sector,technology,year,smsp,tmsr
weo_2022,asia pacific,aps,power,nuclearcap,2024,0.003766400883723389,1.1191057356903351
weo_2022,asia pacific,aps,power,oilcap,2024,-0.0016938387749662275,0.9305655915391184
weo_2022,asia pacific,aps,power,renewablescap,2024,0.11503147035995805,1.385264803805632
weo_2022,asia pacific,aps,power,coalcap,2025,0.010774385055331572,1.0273246177594777
weo_2022,asia pacific,aps,power,gascap,2025,0.003990216224849491,1.0381816927217107
weo_2022,asia pacific,aps,power,hydrocap,2025,0.012269514267293224,1.0837003121065645
weo_2022,asia pacific,aps,power,nuclearcap,2025,0.005649601325585084,1.178658603535503
weo_2022,asia pacific,aps,power,oilcap,2025,-0.0025407581624493393,0.8958483873086778
weo_2022,asia pacific,aps,power,renewablescap,2025,0.17254720553993713,1.5778972057084482
weo_2022,asia pacific,aps,power,coalcap,2026,0.014365846740442058,1.0364328236793034
weo_2022,asia pacific,aps,power,gascap,2026,0.005320288299799312,1.0509089236289475
weo_2022,asia pacific,aps,power,hydrocap,2026,0.01635935235639095,1.111600416142086
weo_2022,asia pacific,aps,power,nuclearcap,2026,0.007532801767446778,1.2382114713806704
weo_2022,asia pacific,aps,power,oilcap,2026,-0.003387677549932455,0.8611311830782369
weo_2022,asia pacific,aps,power,renewablescap,2026,0.2300629407199162,1.7705296076112647
weo_2022,asia pacific,aps,power,coalcap,2027,0.017957308425552602,1.0455410295991294
weo_2022,asia pacific,aps,power,gascap,2027,0.006650360374749147,1.0636361545361845
weo_2022,asia pacific,aps,power,hydrocap,2027,0.0204491904454887,1.1395005201776076
weo_2022,asia pacific,aps,power,nuclearcap,2027,0.009416002209308473,1.297764339225838
weo_2022,asia pacific,aps,power,oilcap,2027,-0.004234596937415567,0.8264139788477962
weo_2022,asia pacific,aps,power,renewablescap,2027,0.2875786758998952,1.9631620095140805
weo_2022,asia pacific,aps,power,coalcap,2028,0.021548770110663088,1.0546492355189552
weo_2022,asia pacific,aps,power,gascap,2028,0.007980432449698968,1.0763633854434214
weo_2022,asia pacific,aps,power,hydrocap,2028,0.02453902853458642,1.167400624213129
weo_2022,asia pacific,aps,power,nuclearcap,2028,0.011299202651170168,1.3573172070710056
weo_2022,asia pacific,aps,power,oilcap,2028,-0.005081516324898682,0.7916967746173553
weo_2022,asia pacific,aps,power,renewablescap,2028,0.34509441107987426,2.1557944114168963
weo_2022,asia pacific,aps,power,coalcap,2029,0.02514023179577363,1.063757441438781
weo_2022,asia pacific,aps,power,gascap,2029,0.009310504524648803,1.0890906163506582
weo_2022,asia pacific,aps,power,hydrocap,2029,0.028628866623684145,1.1953007282486503
weo_2022,asia pacific,aps,power,nuclearcap,2029,0.013182403093031862,1.4168700749161731
weo_2022,asia pacific,aps,power,oilcap,2029,-0.005928435712381794,0.7569795703869147
weo_2022,asia pacific,aps,power,renewablescap,2029,0.4026101462598533,2.348426813319713
weo_2022,asia pacific,aps,power,coalcap,2030,0.028731693480884116,1.072865647358607
weo_2022,asia pacific,aps,power,gascap,2030,0.010640576599598625,1.101817847257895
weo_2022,asia pacific,aps,power,hydrocap,2030,0.0327187047127819,1.2232008322841719
weo_2022,asia pacific,aps,power,nuclearcap,2030,0.015065603534893557,1.476422942761341
weo_2022,asia pacific,aps,power,oilcap,2030,-0.00677535509986491,0.7222623661564738
weo_2022,asia pacific,aps,power,renewablescap,2030,0.4601258814398324,2.5410592152225293
weo_2022,brazil,aps,power,coalcap,2022,0,1
weo_2022,brazil,aps,power,gascap,2022,0,1
weo_2022,brazil,aps,power,hydrocap,2022,0,1
weo_2022,brazil,aps,power,nuclearcap,2022,0,1
weo_2022,brazil,aps,power,oilcap,2022,0,1
weo_2022,brazil,aps,power,renewablescap,2022,0,1
weo_2022,brazil,aps,power,coalcap,2023,-0.001424204910220313,0.9249855741488748
weo_2022,brazil,aps,power,gascap,2023,-0.0032921044270861847,0.955339228654232
weo_2022,brazil,aps,power,hydrocap,2023,0.0012653512856188574,1.0023161377650776
weo_2022,brazil,aps,power,nuclearcap,2023,7.723572782348628e-4,1.0729813664596273
weo_2022,brazil,aps,power,oilcap,2023,-2.51974714885128e-4,0.9936969032611676
weo_2022,brazil,aps,power,renewablescap,2023,0.059586542359140626,1.191953414505029
weo_2022,brazil,aps,power,coalcap,2024,-0.002848409820440626,0.8499711482977497
weo_2022,brazil,aps,power,gascap,2024,-0.006584208854172369,0.9106784573084641
weo_2022,brazil,aps,power,hydrocap,2024,0.0025307025712376446,1.0046322755301549
weo_2022,brazil,aps,power,nuclearcap,2024,0.0015447145564697255,1.1459627329192548
weo_2022,brazil,aps,power,oilcap,2024,-5.03949429770256e-4,0.9873938065223351
weo_2022,brazil,aps,power,renewablescap,2024,0.11917308471828132,1.3839068290100582
weo_2022,brazil,aps,power,coalcap,2025,-0.004272614730660939,0.7749567224466245
weo_2022,brazil,aps,power,gascap,2025,-0.009876313281258563,0.866017685962696
weo_2022,brazil,aps,power,hydrocap,2025,0.0037960538568565017,1.0069484132952324
